254.369, 130.348, 8.341, 13.500 False
253.536, 130.312, 8.340, 13.600 False
252.703, 130.275, 8.340, 13.700 False
251.870, 130.239, 8.339, 13.800 False
251.037, 130.202, 8.339, 13.900 False
250.204, 130.165, 8.338, 14.000 False
249.371, 130.128, 8.338, 14.100 False
248.538, 130.091, 8.338, 14.200 False
247.705, 130.054, 8.337, 14.300 False
246.872, 130.018, 8.337, 14.400 False
246.039, 129.981, 8.337, 14.500 False
245.206, 129.945, 8.336, 14.600 False
244.373, 129.909, 8.336, 14.700 False
243.540, 129.874, 8.336, 14.800 False
242.708, 129.839, 8.336, 14.900 False
241.875, 129.805, 8.336, 15.000 False
241.042, 129.771, 8.335, 15.100 False
240.209, 129.738, 8.335, 15.200 False
239.376, 129.705, 8.335, 15.300 False
238.543, 129.673, 8.335, 15.400 False
237.710, 129.642, 8.335, 15.500 False
236.878, 129.611, 8.335, 15.600 False
236.045, 129.581, 8.334, 15.700 False
235.212, 129.552, 8.334, 15.800 False
234.379, 129.524, 8.334, 15.900 False
233.546, 129.496, 8.334, 16.000 False
232.713, 129.470, 8.334, 16.100 False
231.880, 129.444, 8.334, 16.200 False
231.047, 129.419, 8.334, 16.300 False
230.214, 129.395, 8.334, 16.400 False
229.380, 129.372, 8.334, 16.500 False
228.547, 129.349, 8.334, 16.600 False
227.714, 129.328, 8.334, 16.700 False
226.881, 129.308, 8.334, 16.800 False
226.048, 129.288, 8.334, 16.900 False
225.215, 129.269, 8.334, 17.000 False
224.382, 129.252, 8.334, 17.100 False
223.549, 129.235, 8.333, 17.200 False
222.715, 129.220, 8.333, 17.300 False
221.882, 129.205, 8.333, 17.400 False
221.049, 129.192, 8.333, 17.500 False
220.216, 129.179, 8.333, 17.600 False
219.382, 129.167, 8.333, 17.700 False
218.549, 129.156, 8.333, 17.800 False
217.716, 129.147, 8.333, 17.900 False
216.883, 129.138, 8.333, 18.000 False
216.049, 129.130, 8.333, 18.100 False
215.216, 129.123, 8.333, 18.200 False
214.383, 129.118, 8.333, 18.300 False
213.549, 129.112, 8.333, 18.400 False
212.716, 129.108, 8.333, 18.500 False
211.883, 129.104, 8.333, 18.600 False
211.049, 129.102, 8.333, 18.700 False
210.216, 129.100, 8.333, 18.800 False
209.383, 129.099, 8.333, 18.900 False
208.549, 129.098, 8.333, 19.000 False
207.716, 129.099, 8.333, 19.100 False
206.883, 129.099, 8.333, 19.200 False
206.049, 129.101, 8.333, 19.300 False
205.216, 129.103, 8.333, 19.400 False
204.383, 129.105, 8.333, 19.500 False
203.549, 129.108, 8.333, 19.600 False
202.716, 129.112, 8.333, 19.700 False
201.883, 129.116, 8.333, 19.800 False
201.049, 129.121, 8.333, 19.900 False
200.216, 129.126, 8.333, 20.000 False
199.383, 129.131, 8.333, 20.100 False
198.549, 129.137, 8.333, 20.200 False
197.716, 129.143, 8.333, 20.300 False
196.883, 129.150, 8.333, 20.400 False
196.049, 129.157, 8.333, 20.500 False
195.216, 129.164, 8.333, 20.600 False
194.383, 129.172, 8.333, 20.700 False
193.550, 129.180, 8.333, 20.800 False
192.716, 129.189, 8.333, 20.900 False
191.883, 129.197, 8.333, 21.000 False
191.050, 129.206, 8.333, 21.100 False
190.217, 129.215, 8.333, 21.200 False
189.383, 129.225, 8.333, 21.300 False
188.550, 129.234, 8.333, 21.400 False
187.717, 129.244, 8.333, 21.500 False
186.884, 129.254, 8.333, 21.600 False
186.051, 129.264, 8.333, 21.700 False
185.217, 129.274, 8.333, 21.800 False
184.384, 129.284, 8.333, 21.900 False
183.551, 129.294, 8.333, 22.000 False
182.718, 129.304, 8.333, 22.100 False
181.885, 129.314, 8.333, 22.200 False
181.051, 129.324, 8.333, 22.300 False
180.218, 129.334, 8.333, 22.400 False
179.385, 129.344, 8.333, 22.500 False
178.552, 129.354, 8.333, 22.600 False
177.719, 129.364, 8.333, 22.700 False
176.885, 129.374, 8.333, 22.800 False
176.052, 129.384, 8.333, 22.900 False
175.219, 129.394, 8.333, 23.000 False
174.386, 129.403, 8.333, 23.100 False
173.553, 129.412, 8.333, 23.200 False
172.719, 129.422, 8.333, 23.300 False
171.886, 129.427, 8.333, 23.400 False
171.053, 129.434, 8.333, 23.500 False
170.220, 129.441, 8.333, 23.600 False
169.386, 129.447, 8.333, 23.700 False
168.553, 129.453, 8.333, 23.800 False
167.720, 129.459, 8.333, 23.900 False
166.886, 129.465, 8.333, 24.000 False
166.053, 129.471, 8.333, 24.100 False
165.220, 129.477, 8.333, 24.200 False
164.386, 129.482, 8.333, 24.300 False
163.553, 129.488, 8.333, 24.400 False
162.720, 129.493, 8.333, 24.500 False
161.887, 129.498, 8.333, 24.600 False
161.053, 129.503, 8.333, 24.700 False
