-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.018,  0.115
-183.800, 80.200, -0.001,  0.148
-183.800, 80.199, -0.004,  0.181
-183.800, 80.198, -0.005,  0.214
-183.800, 80.198, -0.005,  0.247
-183.801, 80.197, -0.004,  0.280
-183.801, 80.196, -0.001,  0.313
-183.801, 80.196, 0.002,  0.346
-183.801, 80.195, 0.007,  0.379
-183.801, 80.194, 0.014,  0.412
-183.801, 80.192, 0.023,  0.445
-183.801, 80.190, 0.060,  0.478
-183.800, 80.184, 0.171,  0.511
-183.800, 80.178, 0.188,  0.544
-183.798, 80.171, 0.208,  0.577
-183.797, 80.164, 0.220,  0.610
-183.794, 80.156, 0.218,  0.643
-183.791, 80.148, 0.233,  0.676
-183.788, 80.141, 0.231,  0.709
-183.785, 80.133, 0.234,  0.742
-183.781, 80.125, 0.247,  0.775
-183.776, 80.118, 0.246,  0.808
-183.771, 80.111, 0.227,  0.841
-183.766, 80.103, 0.234,  0.874
-183.760, 80.094, 0.272,  0.907
-183.754, 80.086, 0.250,  0.940
-183.747, 80.077, 0.307,  0.973
-183.739, 80.067, 0.306,  1.006
-183.732, 80.057, 0.283,  1.039
-183.724, 80.047, 0.300,  1.072
-183.717, 80.038, 0.306,  1.105
-183.710, 80.029, 0.279,  1.138
-183.702, 80.020, 0.265,  1.171
-183.695, 80.010, 0.319,  1.204
-183.687, 80.001, 0.282,  1.237
-183.677, 79.990, 0.355,  1.270
-183.668, 79.979, 0.357,  1.303
-183.658, 79.967, 0.350,  1.336
-183.648, 79.956, 0.358,  1.369
-183.637, 79.945, 0.355,  1.402
-183.627, 79.933, 0.389,  1.435
-183.616, 79.922, 0.380,  1.468
-183.605, 79.910, 0.391,  1.501
-183.594, 79.899, 0.413,  1.534
-183.583, 79.886, 0.427,  1.567
-183.571, 79.874, 0.420,  1.600
-183.560, 79.862, 0.438,  1.633
-183.548, 79.849, 0.460,  1.666
-183.537, 79.835, 0.455,  1.699
-183.526, 79.822, 0.446,  1.732
